title,price,rating,colors,size,gender,timestamp
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-15T07:55:53.630636
T-shirt 2,$102.15,Rating: ⭐ 3.9 / 5,3 Colors,Size: M,Gender: Women,2025-05-15T07:55:53.630636
Hoodie 3,$496.88,Rating: ⭐ 4.8 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-15T07:55:53.630636
Pants 4,$467.31,Rating: ⭐ 3.3 / 5,3 Colors,Size: XL,Gender: Men,2025-05-15T07:55:53.630636
Outerwear 5,$321.59,Rating: ⭐ 3.5 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-15T07:55:53.630636
Jacket 6,$153.37,Rating: ⭐ 3.3 / 5,3 Colors,Size: S,Gender: Unisex,2025-05-15T07:55:53.632651
Crewneck 7,$430.75,Rating: ⭐ 4.3 / 5,3 Colors,Size: M,Gender: Men,2025-05-15T07:55:53.632651
T-shirt 8,$487.66,Rating: ⭐ 3.1 / 5,3 Colors,Size: L,Gender: Women,2025-05-15T07:55:53.632651
Hoodie 9,$248.26,Rating: ⭐ 3.2 / 5,3 Colors,Size: XL,Gender: Unisex,2025-05-15T07:55:53.632651
Pants 10,$193.76,Rating: ⭐ 4.2 / 5,3 Colors,Size: XXL,Gender: Men,2025-05-15T07:55:53.632651
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-15T07:55:53.632651
Jacket 12,$532.99,Rating: ⭐ 3.9 / 5,3 Colors,Size: M,Gender: Unisex,2025-05-15T07:55:53.634667
Crewneck 13,$340.45,Rating: ⭐ 3.2 / 5,3 Colors,Size: L,Gender: Men,2025-05-15T07:55:53.634667
T-shirt 14,$203.05,Rating: ⭐ 3.8 / 5,3 Colors,Size: XL,Gender: Women,2025-05-15T07:55:53.634667
Hoodie 15,$136.51,Rating: ⭐ 3.6 / 5,3 Colors,Size: XXL,Gender: Unisex,2025-05-15T07:55:53.634667
Pants 16,Price Unavailable,Rating: Not Rated,8 Colors,Size: S,Gender: Men,2025-05-15T07:55:53.634667
Outerwear 17,$52.60,Rating: ⭐ 3.8 / 5,3 Colors,Size: M,Gender: Women,2025-05-15T07:55:53.634667
Jacket 18,$343.75,Rating: ⭐ 3.8 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-15T07:55:53.634667
Crewneck 19,$81.81,Rating: ⭐ 3.6 / 5,3 Colors,Size: XL,Gender: Men,2025-05-15T07:55:53.634667
T-shirt 20,$82.85,Rating: ⭐ 3.4 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-15T07:55:53.634667
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-15T07:55:54.323092
Pants 22,$269.98,Rating: ⭐ 4.9 / 5,3 Colors,Size: M,Gender: Men,2025-05-15T07:55:54.325105
Outerwear 23,$290.99,Rating: ⭐ 3.7 / 5,3 Colors,Size: L,Gender: Women,2025-05-15T07:55:54.325105
Jacket 24,$513.97,Rating: ⭐ 3.9 / 5,3 Colors,Size: XL,Gender: Unisex,2025-05-15T07:55:54.325105
Crewneck 25,$520.16,Rating: ⭐ 3.3 / 5,3 Colors,Size: XXL,Gender: Men,2025-05-15T07:55:54.325105
T-shirt 26,$455.77,Rating: ⭐ 4.6 / 5,3 Colors,Size: S,Gender: Women,2025-05-15T07:55:54.325105
Hoodie 27,$221.99,Rating: ⭐ 4.8 / 5,3 Colors,Size: M,Gender: Unisex,2025-05-15T07:55:54.325105
Pants 28,$326.01,Rating: ⭐ 4.0 / 5,3 Colors,Size: L,Gender: Men,2025-05-15T07:55:54.325105
Outerwear 29,$53.85,Rating: ⭐ 3.1 / 5,3 Colors,Size: XL,Gender: Women,2025-05-15T07:55:54.325105
Jacket 30,$538.14,Rating: ⭐ 3.7 / 5,3 Colors,Size: XXL,Gender: Unisex,2025-05-15T07:55:54.325105
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-15T07:55:54.325105
T-shirt 32,$416.12,Rating: ⭐ 3.4 / 5,3 Colors,Size: M,Gender: Women,2025-05-15T07:55:54.327124
Hoodie 33,$453.01,Rating: ⭐ 3.5 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-15T07:55:54.327124
Pants 34,$522.67,Rating: ⭐ 3.8 / 5,3 Colors,Size: XL,Gender: Men,2025-05-15T07:55:54.327124
Outerwear 35,$84.76,Rating: ⭐ 3.8 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-15T07:55:54.327124
Jacket 36,$453.08,Rating: ⭐ 3.7 / 5,3 Colors,Size: S,Gender: Unisex,2025-05-15T07:55:54.327124
Crewneck 37,$375.38,Rating: ⭐ 4.0 / 5,3 Colors,Size: M,Gender: Men,2025-05-15T07:55:54.327124
T-shirt 38,$304.13,Rating: ⭐ 3.2 / 5,3 Colors,Size: L,Gender: Women,2025-05-15T07:55:54.327124
Hoodie 39,$401.95,Rating: ⭐ 4.6 / 5,3 Colors,Size: XL,Gender: Unisex,2025-05-15T07:55:54.327124
Pants 40,$365.85,Rating: ⭐ 3.1 / 5,3 Colors,Size: XXL,Gender: Men,2025-05-15T07:55:54.327124
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-15T07:55:54.967240
Jacket 42,$421.51,Rating: ⭐ 3.7 / 5,3 Colors,Size: M,Gender: Unisex,2025-05-15T07:55:54.967240
Crewneck 43,$181.85,Rating: ⭐ 4.5 / 5,3 Colors,Size: L,Gender: Men,2025-05-15T07:55:54.967240
T-shirt 44,$207.02,Rating: ⭐ 3.0 / 5,3 Colors,Size: XL,Gender: Women,2025-05-15T07:55:54.967240
Hoodie 45,$543.32,Rating: ⭐ 4.5 / 5,3 Colors,Size: XXL,Gender: Unisex,2025-05-15T07:55:54.968240
Pants 46,Price Unavailable,Rating: Not Rated,8 Colors,Size: S,Gender: Men,2025-05-15T07:55:54.968240
Outerwear 47,$397.79,Rating: ⭐ 3.2 / 5,3 Colors,Size: M,Gender: Women,2025-05-15T07:55:54.968240
Jacket 48,$312.17,Rating: ⭐ 3.4 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-15T07:55:54.968240
Crewneck 49,$66.95,Rating: ⭐ 4.0 / 5,3 Colors,Size: XL,Gender: Men,2025-05-15T07:55:54.968240
T-shirt 50,$370.81,Rating: ⭐ 3.1 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-15T07:55:54.968240
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-15T07:55:54.968240
Pants 52,$99.78,Rating: ⭐ 4.0 / 5,3 Colors,Size: M,Gender: Men,2025-05-15T07:55:54.968240
Outerwear 53,$279.43,Rating: ⭐ 4.3 / 5,3 Colors,Size: L,Gender: Women,2025-05-15T07:55:54.969240
Jacket 54,$53.41,Rating: ⭐ 4.2 / 5,3 Colors,Size: XL,Gender: Unisex,2025-05-15T07:55:54.969240
Crewneck 55,$112.11,Rating: ⭐ 3.6 / 5,3 Colors,Size: XXL,Gender: Men,2025-05-15T07:55:54.969240
T-shirt 56,$290.19,Rating: ⭐ 3.8 / 5,3 Colors,Size: S,Gender: Women,2025-05-15T07:55:54.969670
Hoodie 57,$197.21,Rating: ⭐ 4.9 / 5,3 Colors,Size: M,Gender: Unisex,2025-05-15T07:55:54.969670
Pants 58,$102.36,Rating: ⭐ 4.4 / 5,3 Colors,Size: L,Gender: Men,2025-05-15T07:55:54.969670
Outerwear 59,$140.89,Rating: ⭐ 4.6 / 5,3 Colors,Size: XL,Gender: Women,2025-05-15T07:55:54.969670
Jacket 60,$210.97,Rating: ⭐ 4.2 / 5,3 Colors,Size: XXL,Gender: Unisex,2025-05-15T07:55:54.969670
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-15T07:55:55.663077
T-shirt 62,$86.03,Rating: ⭐ 3.8 / 5,3 Colors,Size: M,Gender: Women,2025-05-15T07:55:55.663077
Hoodie 63,$404.95,Rating: ⭐ 3.6 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-15T07:55:55.663077
Pants 64,$483.03,Rating: ⭐ 4.0 / 5,3 Colors,Size: XL,Gender: Men,2025-05-15T07:55:55.663077
Outerwear 65,$149.12,Rating: ⭐ 4.1 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-15T07:55:55.663077
Jacket 66,$272.07,Rating: ⭐ 3.5 / 5,3 Colors,Size: S,Gender: Unisex,2025-05-15T07:55:55.663077
Crewneck 67,$529.42,Rating: ⭐ 3.5 / 5,3 Colors,Size: M,Gender: Men,2025-05-15T07:55:55.663077
